Date,ret,Vol,price
1998-07-22,0.0814693012944119,360,7950
1998-07-23,-0.0152094186635292,190,7830
1998-07-24,-0.0102696666374555,340,7750
1998-07-27,0.0102696666374555,150,7830
1998-07-28,-0.0026855953221733802,264,7809
1998-07-29,-0.0127587271053002,323,7710
1998-07-30,-0.0058536752514601895,221,7665
1998-07-31,-0.0006525285712779549,257,7660
1998-08-01,-0.0135376977139163,378,7557
1998-08-03,0.131290076781509,293,7640
1998-08-04,0.11266709084026501,302,7555
1998-08-05,-0.0059741299486599795,455,7510
1998-08-06,0.0006655574288938481,270,7515
1998-08-07,-0.0046682312185506395,453,7480
1998-08-10,-0.0075712654963187,345,7500
1998-08-11,-0.0248392900136452,386,7316
1998-08-12,0.00259368106632607,384,7335
1998-08-13,0.00340252114583883,496,7360
1998-08-14,-0.0116161196832287,528,7275
1998-08-15,-0.00192625265944635,361,7261
1998-08-17,0.0032998792490595,308,7285
1998-08-18,-0.00481597078058549,574,7250
1998-08-19,0.00261726163591547,543,7269
1998-08-20,0.00425561765184668,322,7300
1998-08-21,-0.0061834618181944,301,7255
1998-08-24,-0.0115063305932654,919,7172
1998-08-25,-0.0331710071953282,780,6938
1998-08-26,0.00746700769816044,839,6990
1998-08-27,-0.0452128793023778,1137,6681
1998-08-28,0.00269058458279048,1285,6699
1998-08-29,0.00014926487078881201,698,6700
1998-08-31,-0.123855098293991,922,6750
1998-09-01,-0.163463068041551,1584,6352
1998-09-02,-0.0546829848365302,1417,6494
1998-09-03,-0.0708661158686326,1459,6400
1998-09-04,-0.10624247955448,1789,6120
1998-09-05,0.0478560211776351,2198,6420
1998-09-07,0.0471570259547676,1632,6730
1998-09-08,-0.00163580971862309,1410,6719
1998-09-09,0.0309204792637985,1901,6930
1998-09-10,0.0563184305902222,1371,6720
1998-09-11,-0.00597016698650243,1804,6680
1998-09-14,0.0161856677709551,871,6789
1998-09-15,0.00748407631494885,612,6840
1998-09-16,-0.00366166648596256,732,6815
1998-09-17,0.0188959110578111,1979,6945
1998-09-18,-0.0152342445718485,1470,6840
1998-09-19,0.00277392688272471,2339,6859
1998-09-21,0.0800190168856982,2307,7035
1998-09-22,-0.0150378773645397,1715,6930
1998-09-23,-0.00433840159859855,1773,6900
1998-09-24,0.00578036291549999,1403,6940
1998-09-25,-0.0121775932232353,1928,6856
1998-09-28,0.000583260442315492,1132,6860
1998-09-29,0.0014566644964642,1389,6870
1998-09-30,0.0615065857130883,1239,6806
1998-10-02,-0.0580088263412399,2532,6530
1998-10-03,-0.0772735899744283,2383,6398
1998-10-06,-0.0838991945370786,2007,6490
1998-10-07,-0.00324099365415087,2348,6469
1998-10-08,0.0200481119705316,3281,6600
1998-10-09,0.0559792677419004,3290,6980
1998-10-12,0.0352857717899191,1613,6980
1998-10-13,-0.0043072571975795206,2387,6950
