Date,ret,LagVol,price
1998/7/23,-0.015209419,360,7830
1998/7/24,-0.010269667,190,7750
1998/7/27,0.010269667,340,7830
1998/7/28,-0.002685595,150,7809
1998/7/29,-0.012758727,264,7710
1998/7/30,-0.005853675,323,7665
1998/7/31,-0.000652529,221,7660
1998/8/1,-0.013537698,257,7557
1998/8/3,0.131290077,378,7640
1998/8/4,0.112667091,293,7555
1998/8/5,-0.00597413,302,7510
1998/8/6,0.000665557,455,7515
1998/8/7,-0.004668231,270,7480
1998/8/10,-0.007571265,453,7500
1998/8/11,-0.02483929,345,7316
1998/8/12,0.002593681,386,7335
1998/8/13,0.003402521,384,7360
1998/8/14,-0.01161612,496,7275
1998/8/15,-0.001926253,528,7261
1998/8/17,0.003299879,361,7285
1998/8/18,-0.004815971,308,7250
1998/8/19,0.002617262,574,7269
1998/8/20,0.004255618,543,7300
1998/8/21,-0.006183462,322,7255
1998/8/24,-0.011506331,301,7172
1998/8/25,-0.033171007,919,6938
1998/8/26,0.007467008,780,6990
1998/8/27,-0.045212879,839,6681
1998/8/28,0.002690585,1137,6699
1998/8/29,0.000149265,1285,6700
1998/8/31,-0.123855098,698,6750
1998/9/1,-0.163463068,922,6352
1998/9/2,-0.054682985,1584,6494
1998/9/3,-0.070866116,1417,6400
1998/9/4,-0.10624248,1459,6120
1998/9/5,0.047856021,1789,6420
1998/9/7,0.047157026,2198,6730
1998/9/8,-0.00163581,1632,6719
1998/9/9,0.030920479,1410,6930
1998/9/10,0.056318431,1901,6720
1998/9/11,-0.005970167,1371,6680
1998/9/14,0.016185668,1804,6789
1998/9/15,0.007484076,871,6840
1998/9/16,-0.003661666,612,6815
1998/9/17,0.018895911,732,6945
1998/9/18,-0.015234245,1979,6840
1998/9/19,0.002773927,1470,6859
1998/9/21,0.080019017,2339,7035
1998/9/22,-0.015037877,2307,6930
1998/9/23,-0.004338402,1715,6900
1998/9/24,0.005780363,1773,6940
1998/9/25,-0.012177593,1403,6856
1998/9/28,0.00058326,1928,6860
1998/9/29,0.001456664,1132,6870
1998/9/30,0.061506586,1389,6806
1998/10/2,-0.058008826,1239,6530
1998/10/3,-0.07727359,2532,6398
1998/10/6,-0.083899195,2383,6490
1998/10/7,-0.003240994,2007,6469
1998/10/8,0.020048112,2348,6600
1998/10/9,0.055979268,3281,6980
1998/10/12,0.035285772,3290,6980
1998/10/13,-0.004307257,1613,6950
1998/10/14,-0.017416986,2387,6830
1998/10/15,-0.008085307,2224,6775
1998/10/17,0.025502293,1188,6950
1998/10/19,-0.00432589,1592,6920
1998/10/20,0.052938189,641,6885
1998/10/21,-0.010659369,777,6812
1998/10/22,0.031500943,926,7030
1998/10/23,-0.007854378,2243,6975
1998/10/26,0.003577821,2586,7000
1998/10/27,0.002853069,1463,7020
1998/10/28,-0.002139038,2071,7005
1998/10/29,-0.013365148,2947,6912
1998/10/30,0.089924708,1515,7000
1998/10/31,0.008251576,2302,7058
1998/11/2,-0.004339009,2753,7129
1998/11/3,-0.054435207,2530,7150
1998/11/4,-0.059063341,2876,7051
1998/11/5,-0.011554226,3434,6970
1998/11/6,0.006863052,2888,7018
1998/11/7,-0.012618464,3000,6930
1998/11/9,0.010193183,2117,7001
1998/11/10,-0.011382588,1374,6901
1998/11/11,-0.017541745,2496,6781
1998/11/13,0.010124069,2317,6850
1998/11/16,0.009299689,2411,6914
1998/11/17,0.022312138,1784,7070
1998/11/18,0.01752586,1252,7195
1998/11/19,-0.004876359,940,7160
1998/11/20,0.031888961,3567,7360
1998/11/21,0.008792752,2989,7425
1998/11/23,-0.01342302,3385,7326
1998/11/24,0.01342302,1636,7425
1998/11/25,-0.023851216,3250,7250
1998/11/26,0.018449447,4222,7385
1998/11/27,0.022096647,3485,7550
1998/11/30,0.045120435,2598,7480
1998/12/1,0.050006937,2194,7360
1998/12/2,0.09060505,2815,7400
1998/12/3,0.120332107,2268,7365
1998/12/4,0.093140404,1844,7320
1998/12/7,0.028815781,2017,7534
1998/12/8,-0.004523089,2958,7500
1998/12/9,-0.023200393,2678,7328
1998/12/10,-0.021978907,2646,7200
1998/12/11,-0.012578782,2171,7110
1998/12/14,-0.020604637,2886,6965
1998/12/15,-0.009231279,1576,6901
1998/12/16,0.010665999,2067,6975
1998/12/17,-0.03116152,1701,6761
